,,AWARD,YEAR,RG CODE,PLAYER / COACH,TEAM,CAREER AWARDS,SEASON AWARDS
Alonzo Mourning 2000,,All-Defensive First Team,2000,Alonzo Mourning,Alonzo Mourning,Charlotte Hornets,"All-Defensive First Team (2), All-NBA First Team (1), All-NBA Second Team (1), All-Rookie First Team (1), All-Star (7), Citizenship Award (1), Defensive Player of the Year (2), NBA Champion (1), Player of the Month (1), Player of the Week (6), Rookie of the Month (2), Blocks Leader (2), Olympic Gold (1), World Cup Gold (1), World Cup Bronze (1)","All-Defensive First Team, All-NBA Second Team, All-Star, Defensive Player of the Year, Player of the Month, Player of the Week, Blocks Leader, Olympic Gold"
Gary Payton 2000,,All-Defensive First Team,2000,Gary Payton,Gary Payton,Seattle SuperSonics,"All-Defensive First Team (9), All-NBA First Team (2), All-NBA Second Team (5), All-NBA Third Team (2), All-Rookie Second Team (1), All-Star (9), Defensive Player of the Year (1), HoopsHype Top-78 (1), NBA Champion (1), NBA Top-75 (1), Player of the Month (1), Player of the Week (3), Steals Leader (1), Olympic Gold (2)","All-Defensive First Team, All-NBA First Team, All-Star, Player of the Month, Olympic Gold"
Kevin Garnett 2000,,All-Defensive First Team,2000,Kevin Garnett,Kevin Garnett,Minnesota Timberwolves,"All-Defensive First Team (9), All-Defensive Second Team (3), All-NBA First Team (4), All-NBA Second Team (3), All-NBA Third Team (2), All-Rookie Second Team (1), All-Star (15), Citizenship Award (1), Defensive Player of the Year (1), HoopsHype Top-78 (1), Most Valuable Player (1), NBA Champion (1), NBA Top-75 (1), Player of the Month (9), Player of the Week (20), All-Star MVP (1), Rebounding Leader (4), Olympic Gold (1)","All-Defensive First Team, All-NBA First Team, All-Star, Player of the Month, Player of the Week, Olympic Gold"
Kobe Bryant 2000,,All-Defensive First Team,2000,Kobe Bryant,Kobe Bryant,Los Angeles Lakers,"All-Defensive First Team (9), All-Defensive Second Team (3), All-NBA First Team (11), All-NBA Second Team (2), All-NBA Third Team (2), All-Rookie Second Team (1), All-Star (18), Finals MVP (2), HoopsHype Top-78 (1), Most Valuable Player (1), NBA Champion (5), NBA Top-75 (1), Player of the Month (17), Player of the Week (33), All-Star MVP (4), Scoring Leader (2), Olympic Gold (2)","All-Defensive First Team, All-NBA Second Team, All-Star, NBA Champion, Player of the Week"
Tim Duncan 2000,,All-Defensive First Team,2000,Tim Duncan,Tim Duncan,San Antonio Spurs,"All-Defensive First Team (8), All-Defensive Second Team (7), All-NBA First Team (10), All-NBA Second Team (3), All-NBA Third Team (2), All-Rookie First Team (1), All-Star (15), Finals MVP (3), HoopsHype Top-78 (1), IBM Award (1), Most Valuable Player (2), NBA Champion (5), NBA Top-75 (1), Player of the Month (3), Player of the Week (23), Rookie of the Month (6), Rookie of the Year (1), Teammate of the Year (1), All-Star MVP (1), Olympic Bronze (1)","All-Defensive First Team, All-NBA First Team, All-Star, Player of the Week, All-Star MVP"
Dyson Daniels 2025,,All-Defensive First Team,2025,Dyson Daniels,Dyson Daniels,New Orleans Pelicans,"All-Defensive First Team (1), Defensive Player of the Month (2), Most Improved Player (1), Steals Leader (1)","All-Defensive First Team, Defensive Player of the Month, Most Improved Player, Steals Leader"
Luguentz Dort 2025,,All-Defensive First Team,2025,Luguentz Dort,Luguentz Dort,Oklahoma City Thunder,"All-Defensive First Team (1), NBA Champion (1), World Cup Bronze (1)","All-Defensive First Team, NBA Champion"
Draymond Green 2025,,All-Defensive First Team,2025,Draymond Green,Draymond Green,Golden State Warriors,"All-Defensive First Team (5), All-Defensive Second Team (4), All-NBA Second Team (1), All-NBA Third Team (1), All-Star (4), Defensive Player of the Month (1), Defensive Player of the Year (1), NBA Champion (4), Player of the Week (1), Steals Leader (1), Olympic Gold (2)","All-Defensive First Team, Defensive Player of the Month"
Evan Mobley 2025,,All-Defensive First Team,2025,Evan Mobley,Evan Mobley,Cleveland Cavaliers,"All-Defensive First Team (2), All-NBA Second Team (1), All-Rookie First Team (1), All-Star (1), Defensive Player of the Month (2), Defensive Player of the Year (1), Rookie of the Month (1)","All-Defensive First Team, All-NBA Second Team, All-Star, Defensive Player of the Month, Defensive Player of the Year"
Amen Thompson 2025,,All-Defensive First Team,2025,Amen Thompson,Amen Thompson,Houston Rockets,"All-Defensive First Team (1), All-Rookie Second Team (1)",All-Defensive First Team
Bill Russell 1969,,All-Defensive First Team,1969,Bill Russell,Bill Russell,Boston Celtics,"All-Defensive First Team (1), All-NBA First Team (3), All-NBA Second Team (8), All-Star (12), HoopsHype Top-78 (1), Lifetime Achievement Award (1), Most Valuable Player (5), NBA Champion (11), NBA Champion Coach (2), NBA Top-50 (1), NBA Top-75 (1), All-Star MVP (1), Rebounding Leader (4), Olympic Gold (1)","All-Defensive First Team, All-Star, NBA Champion"
Dave DeBusschere 1969,,All-Defensive First Team,1969,Dave DeBusschere,Dave DeBusschere,Detroit Pistons,"All-Defensive First Team (6), All-NBA Second Team (1), All-Rookie First Team (1), All-Star (8), NBA Champion (2), NBA Top-50 (1), NBA Top-75 (1)","All-Defensive First Team, All-NBA Second Team"
Jerry Sloan 1969,,All-Defensive First Team,1969,Jerry Sloan,Jerry Sloan,Chicago Bulls,"All-Defensive First Team (4), All-Defensive Second Team (2), All-Star (2), Coach of the Month (10)","All-Defensive First Team, All-Star"
Nate Thurmond 1969,,All-Defensive First Team,1969,Nate Thurmond,Nate Thurmond,San Francisco Warriors,"All-Defensive First Team (2), All-Defensive Second Team (3), All-Rookie First Team (1), All-Star (7), NBA Top-50 (1), NBA Top-75 (1)",All-Defensive First Team
Walt Frazier 1969,,All-Defensive First Team,1969,Walt Frazier,Walt Frazier,New York Knicks,"All-Defensive First Team (7), All-NBA First Team (4), All-NBA Second Team (2), All-Rookie First Team (1), All-Star (7), HoopsHype Top-78 (1), NBA Champion (2), NBA Top-50 (1), NBA Top-75 (1), All-Star MVP (1)",All-Defensive First Team
Dave DeBusschere 1970,,All-Defensive First Team,1970,Dave DeBusschere,Dave DeBusschere,Detroit Pistons,"All-Defensive First Team (6), All-NBA Second Team (1), All-Rookie First Team (1), All-Star (8), NBA Champion (2), NBA Top-50 (1), NBA Top-75 (1)","All-Defensive First Team, All-Star, NBA Champion"
Gus Johnson 1970,,All-Defensive First Team,1970,Gus Johnson,Gus Johnson,Baltimore Bullets,"All-Defensive First Team (2), All-NBA Second Team (4), All-Rookie First Team (1), All-Star (5)","All-Defensive First Team, All-NBA Second Team, All-Star"
Jerry West 1970,,All-Defensive First Team,1970,Jerry West,Jerry West,Los Angeles Lakers,"All-Defensive First Team (4), All-Defensive Second Team (1), All-NBA First Team (10), All-NBA Second Team (2), All-Star (14), Finals MVP (1), HoopsHype Top-78 (1), NBA Champion (1), NBA Top-50 (1), NBA Top-75 (1), All-Star MVP (1), Scoring Leader (1), Assists Leader (1), Olympic Gold (1)","All-Defensive First Team, All-NBA First Team, All-Star"
Walt Frazier 1970,,All-Defensive First Team,1970,Walt Frazier,Walt Frazier,New York Knicks,"All-Defensive First Team (7), All-NBA First Team (4), All-NBA Second Team (2), All-Rookie First Team (1), All-Star (7), HoopsHype Top-78 (1), NBA Champion (2), NBA Top-50 (1), NBA Top-75 (1), All-Star MVP (1)","All-Defensive First Team, All-NBA First Team, All-Star, NBA Champion"
Willis Reed 1970,,All-Defensive First Team,1970,Willis Reed,Willis Reed,New York Knicks,"All-Defensive First Team (1), All-NBA First Team (1), All-NBA Second Team (4), All-Rookie First Team (1), All-Star (7), Finals MVP (2), HoopsHype Top-78 (1), Most Valuable Player (1), NBA Champion (2), NBA Top-50 (1), NBA Top-75 (1), Rookie of the Year (1), All-Star MVP (1)","All-Defensive First Team, All-NBA First Team, All-Star, Finals MVP, Most Valuable Player, NBA Champion"
Dave DeBusschere 1971,,All-Defensive First Team,1971,Dave DeBusschere,Dave DeBusschere,New York Knicks,"All-Defensive First Team (6), All-NBA Second Team (1), All-Rookie First Team (1), All-Star (8), NBA Champion (2), NBA Top-50 (1), NBA Top-75 (1)","All-Defensive First Team, All-Star"
Gus Johnson 1971,,All-Defensive First Team,1971,Gus Johnson,Gus Johnson,Baltimore Bullets,"All-Defensive First Team (2), All-NBA Second Team (4), All-Rookie First Team (1), All-Star (5)","All-Defensive First Team, All-NBA Second Team, All-Star"
