PLAYER,BIRTHDAY,BIRTH STATE / COUNTRY,BIRTH CITY,NATIONALITY,POS,HEIGHT,WEIGHT,COLLEGE / TEAM,DRAFT,PICK,TEAM,REAL TEAM,
A.C. Green,10/4/1963,Oregon,Portland,United States,F,6-9,225,Oregon St,1985,23,LAL,LAL,A.C. Green
A.J. Bramlett,1/10/1977,Illinois,Dekalb,United States,C,6-10,227,Arizona,1999,39,CLE,CLE,A.J. Bramlett
A.J. English,7/11/1967,Delaware,Wilmington,United States,G,6-3,175,Virginia Union,1990,37,WAS,WAS,A.J. English
A.J. Wynder,9/11/1964,New York,New York City,United States,G,6-2,180,Fairfield,1987,UND,,,A.J. Wynder
A.W. Holt,8/26/1946,Mississippi,Jackson,United States,F,6-7,210,Jackson St,1970,UND,,,A.W. Holt
Aaron Brooks,1/14/1985,Washington,Seattle,United States,G,6-0,161,Oregon,2007,26,HOU,HOU,Aaron Brooks
Aaron Gordon,9/16/1995,California,San Jose,United States,F,6-8,235,Arizona,2014,4,ORL,ORL,Aaron Gordon
Aaron Gray,12/7/1984,California,Tarzana,United States,C,7-0,270,Pittsburgh,2007,49,CHI,CHI,Aaron Gray
Aaron Harrison,10/28/1994,Texas,San Antonio,United States,G,6-6,210,Kentucky,2015,UND,,,Aaron Harrison
Aaron Henry,8/30/1999,Kentucky,Louisville,United States,F,6-5,210,Michigan St,2021,UND,,,Aaron Henry
Aaron Holiday,9/30/1996,Louisiana,Ruston,United States,G,6-0,185,UCLA,2018,23,IND,IND,Aaron Holiday
Aaron Jackson,5/6/1986,Connecticut,Hartford,United States,G,6-3,183,Duquesne,2009,UND,,,Aaron Jackson
Aaron James,10/5/1952,Louisiana,New Orleans,United States,F,6-8,210,Grambling,1974,28,UTA,UTA,Aaron James
Aaron McKie,10/2/1972,Pennsylvania,Philadelphia,United States,G,6-5,209,Temple,1994,17,POR,POR,Aaron McKie
Aaron Miles,4/13/1983,Oregon,Portland,United States,G,6-1,190,Kansas,2005,UND,,,Aaron Miles
Aaron Nesmith,10/16/1999,South Carolina,Charleston,United States,G-F,6-6,215,Vanderbilt,2020,14,BOS,BOS,Aaron Nesmith
Aaron Swinson,1/9/1971,Georgia,Brunswick,United States,F,6-5,230,Auburn,1994,UND,,,Aaron Swinson
Aaron Wiggins,1/2/1999,North Carolina,Greensboro,United States,G,6-5,190,Maryland,2021,55,OKC,OKC,Aaron Wiggins
Aaron Williams,10/2/1971,Illinois,Evanston,United States,C-F,6-9,235,Xavier,1993,UND,,,Aaron Williams
Abdel Nader,9/25/1993,Egypt,Alexandria,Egypt,F,6-5,225,Iowa St,2016,58,BOS,BOS,Abdel Nader
Abdul Jeelani,2/10/1954,Tennessee,Bells,United States,F,6-8,210,Wisconsin-Parkside,1976,50,CLE,CLE,Abdul Jeelani
Ace Bailey,8/13/2006,Tennessee,Chattanooga,United States,F,6-7,200,Rutgers,2025,5,UTA,UTA,Ace Bailey
Acie Earl,6/23/1970,Illinois,Peoria,United States,F-C,6-11,240,Iowa,1993,19,BOS,BOS,Acie Earl
