PLAYER,TEAM,2026,CH 25-26,ST 25-26,2027,CH 26-27,ST 26-27,2028,CH 27-28,ST 27-28,2029,CH 28-29,ST 28-29,2030,CH 29-30,ST 29-30,2031,CH 30-31,ST 30-31,TOTAL GUARANTEED (with 2024-25)
CJ McCollum,Atlanta,"$30,666,666","$30,666,666",GUARANTEED,,,,,,,,,,,,,,,,"$63,999,999"
Jalen Johnson,Atlanta,"$30,000,000","$30,000,000",GUARANTEED,"$30,000,000","$30,000,000",GUARANTEED,"$30,000,000","$30,000,000",GUARANTEED,"$30,000,000","$30,000,000",GUARANTEED,"$30,000,000","$30,000,000",GUARANTEED,,,,"$154,510,905"
Jonathan Kuminga,Atlanta,"$23,799,569","$23,799,569",GUARANTEED,"$24,300,000",$0,TEAM OPT,,,,,,,,,,,,,"$31,435,876"
Nickeil Alexander-Walker,Atlanta,"$15,161,800","$15,161,800",GUARANTEED,"$14,403,710","$14,403,710",GUARANTEED,"$15,161,800","$15,161,800",GUARANTEED,"$15,919,890","$15,919,890",PLAYER OPT,,,,,,,"$64,959,700"
Onyeka Okongwu,Atlanta,"$15,000,000","$15,000,000",GUARANTEED,"$16,120,000","$16,120,000",GUARANTEED,"$16,880,000","$16,880,000",GUARANTEED,,,,,,,,,,"$62,000,000"
Corey Kispert,Atlanta,"$13,975,000","$13,975,000",GUARANTEED,"$13,975,000","$13,975,000",GUARANTEED,"$13,050,000","$13,050,000",GUARANTEED,"$13,050,000",$0,TEAM OPT,,,,,,,"$46,705,887"
Zaccharie Risacher,Atlanta,"$13,197,720","$13,197,720",GUARANTEED,"$13,826,040","$16,120,000",GUARANTEED,"$17,434,636",$0,TEAM OPT,,,,,,,,,,"$39,592,800"
Gabe Vincent,Atlanta,"$11,500,000","$11,500,000",GUARANTEED,,,,,,,,,,,,,,,,"$22,500,000"
Buddy Hield,Atlanta,"$9,219,512","$9,219,512",GUARANTEED,"$9,658,536","$3,000,000",NOT G,"$10,097,560","$3,136,364",PLAYER OPT,,,,,,,,,,"$24,136,364"
Dyson Daniels,Atlanta,"$7,707,709","$7,707,709",GUARANTEED,"$25,000,000","$25,000,000",GUARANTEED,"$25,000,000","$25,000,000",GUARANTEED,"$25,000,000","$25,000,000",GUARANTEED,"$25,000,000","$25,000,000",GUARANTEED,,,,"$113,767,229"
Asa Newell,Atlanta,"$3,237,480","$3,237,480",GUARANTEED,"$3,399,480","$3,399,480",GUARANTEED,"$3,560,880",$0,TEAM OPT,"$6,042,813",$0,TEAM OPT,,,,,,,"$6,636,960"
Jock Landale,Atlanta,"$2,461,463","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$10,461,463"
Keaton Wallace,Atlanta,"$2,296,274","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$2,296,274"
Mouhamed Gueye,Atlanta,"$2,221,677","$2,221,677",GUARANTEED,"$2,406,205",$0,TEAM OPT,,,,,,,,,,,,,"$4,113,534"
Caleb Houstan,Atlanta,"$724,598","$699,440",GUARANTEED,,,,,,,,,,,,,,,,"$2,744,297"
RayJ Dennis,Atlanta,"$331,365",$0,TWO-WAY,"$679,042",$0,TWO-WAY,,,,,,,,,,,,,$0
Christian Koloko,Atlanta,"$279,891",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
